Billing_Month,Island,Value,Source_Page
2024-12-01,Luzon,3.26,1
2024-12-01,Mindanao,3.88,1
2024-12-01,Visayas,3.87,1
2025-01-01,Luzon,2.98,2
2025-01-01,Mindanao,2.65,2
2025-01-01,Visayas,3.13,2
2025-02-01,Luzon,2.71,3
2025-02-01,Mindanao,2.72,3
2025-02-01,Visayas,2.81,3
2025-03-01,Luzon,5.5,4
2025-03-01,Mindanao,4.39,4
2025-03-01,Visayas,5.48,4
2025-04-01,Luzon,4.59,5
2025-04-01,Mindanao,4.11,5
2025-04-01,Visayas,4.52,5
2025-05-01,Luzon,4.22,6
2025-05-01,Mindanao,3.13,6
2025-05-01,Visayas,3.77,6
2025-06-01,Luzon,3.91,7
2025-06-01,Mindanao,3.54,7
2025-06-01,Visayas,3.93,7
2025-07-01,Luzon,3.92,8
2025-07-01,Mindanao,3.8,8
2025-07-01,Visayas,4.39,8
2025-08-01,Luzon,3.76,9
2025-08-01,Mindanao,6.66,9
2025-08-01,Visayas,6.4,9
2025-09-01,Luzon,2.57,10
2025-09-01,Mindanao,4.19,10
2025-09-01,Visayas,4.02,10
2025-10-01,Luzon,3.96,11
2025-10-01,Mindanao,5.87,11
2025-10-01,Visayas,5.85,11
2025-11-01,Luzon,3.52,12
2025-11-01,Mindanao,4.99,12
2025-11-01,Visayas,5.29,12
2025-12-01,Luzon,2.98,12
2025-12-01,Mindanao,7.82,12
2025-12-01,Visayas,7.22,12
